Package name,               Short description
stow,                       A tool for managing the installation of multiple software packages in the same run-time directory tree
fzf,                        A command-line fuzzy finder written in Go
gnumake,                    A tool to control the generation of non-source files from sources
gnutar,                     GNU implementation of the `tar' archiver
gawk,                       GNU implementation of the Awk programming language
xz,                         A general-purpose data compression software successor of LZMA
wget,                       Tool for retrieving files using HTTP HTTPS and FTP
curl,                       A command line tool for transferring files with URL syntax
git,                        Distributed version control system
#starship,                  A minimal blazing fast and extremely customizable prompt for any shell
gcc,                        GNU compiler collection
dmg2img,                    Apple dmg converter
mpv,                        video player
mpd,                        music player
megasync,                   file hosting
dropbox,                    file hosting
# xorg.xorgserver,
# xorg.xf86videoati,
# xorg.xf86inputevdev,
# xorg.xf86inputsynaptics,
# xorg.xf86inputlibinput,
# xorg.xdm,
# xorg.xinit,
libwebp,                    google's lightweight image format
